Sr No,q,Outcome
1,0.5,Success
2,0.5,Success
3,0.5,Success
4,0.5,Failure
5,0.5,Success
6,0.5,Failure
7,0.5,Success
8,0.5,Success
9,0.5,Success
10,0.5,Success
11,0.5,Success
12,0.5,Success
13,0.5,Success
14,0.5,Success
15,0.5,Success
16,0.5,Success
17,0.5,Success
18,0.5,Success
19,0.5,Success
20,0.5,Success
21,0.5,Success
22,0.5,Success
23,0.5,Success
24,0.5,Success
25,0.5,Success
26,0.5,Failure
27,0.5,Success
28,0.5,Success
29,0.5,Failure
30,0.5,Success
31,0.5,Success
32,0.5,Success
33,0.5,Success
34,0.5,Success
35,0.5,Success
36,0.5,Failure
37,0.5,Success
38,0.5,Success
39,0.5,Failure
40,0.5,Failure
41,0.5,Success
42,0.5,Failure
43,0.5,Failure
44,0.5,Success
45,0.5,Success
46,0.5,Success
47,0.5,Failure
48,0.5,Success
49,0.5,Failure
50,0.5,Success
51,0.5,Failure
52,0.5,Success
53,0.5,Success
54,0.5,Success
55,0.5,Success
56,0.5,Failure
57,0.5,Success
58,0.5,Failure
59,0.5,Success
60,0.5,Success
61,0.5,Success
62,0.5,Success
63,0.5,Success
64,0.5,Failure
65,0.5,Success
66,0.5,Success
67,0.5,Failure
68,0.5,Success
69,0.5,Success
70,0.5,Failure
71,0.5,Success
72,0.5,Success
73,0.5,Success
74,0.5,Success
75,0.5,Success
76,0.5,Success
77,0.5,Failure
78,0.5,Success
79,0.5,Success
80,0.5,Success
81,0.5,Success
82,0.5,Success
83,0.5,Success
84,0.5,Failure
85,0.5,Success
86,0.5,Success
87,0.5,Success
88,0.5,Failure
89,0.5,Success
90,0.5,Success
91,0.5,Success
92,0.5,Success
93,0.5,Failure
94,0.5,Failure
95,0.5,Success
96,0.5,Failure
97,0.5,Success
98,0.5,Success
99,0.5,Failure
100,0.5,Failure
